t1,t2,t3,t4,t5,t6,brs
40,94,38,64,20,94,457
8,40,72,51,50,85,414
31,55,56,3,64,36,408
38,72,42,76,94,19,446
87,9,91,21,55,94,501
5,0,95,62,14,13,527
82,59,81,66,59,44,408
70,64,50,8,61,93,435
74,91,66,36,76,64,440
98,69,26,61,89,24,471
34,78,30,53,53,15,408
58,31,99,27,94,92,489
67,2,60,87,56,34,438
83,82,61,62,18,47,427
56,51,32,12,54,59,380
61,62,62,77,15,20,431
23,46,69,9,2,58,449
50,89,13,51,53,55,390
70,99,76,52,41,97,458
34,3,20,81,91,20,497
80,21,73,80,93,53,463
69,81,71,63,82,65,437
72,53,61,7,60,49,394
76,56,85,75,67,64,429
38,74,53,94,67,71,426
64,17,40,4,52,87,445
80,74,48,83,90,38,445
48,5,89,99,36,93,495
20,47,83,31,2,63,448
1,79,89,73,96,14,526
67,79,86,52,25,8,455
98,49,99,87,45,80,474
75,57,75,68,59,9,430
67,88,50,83,85,78,457
62,58,63,33,58,18,394
55,67,97,95,72,58,450
24,63,90,57,65,49,406
9,38,53,57,71,52,390
92,50,51,15,63,83,429
12,66,88,55,69,1,469
29,41,77,19,62,98,451
22,6,51,6,88,79,487
86,89,59,88,80,55,463
67,59,46,90,59,17,416
53,88,57,71,26,18,429
69,73,99,56,91,99,493
62,39,81,20,79,38,428
82,77,81,61,86,66,459
96,47,80,28,56,56,417
89,54,65,59,74,46,400
19,90,2,2,85,40,514
50,92,50,2,73,4,463
54,70,6,58,58,81,420
45,18,63,91,56,94,445
97,80,68,100,80,71,502
65,79,8,51,87,84,463
59,49,28,91,94,86,457
74,7,51,7,4,7,502
49,83,88,31,58,99,452
73,60,66,41,50,89,402
76,18,21,54,64,63,422
17,97,15,3,50,63,478
24,60,64,97,64,83,449
98,69,25,98,99,23,520
69,80,19,71,82,56,444
63,66,15,82,91,97,489
3,78,4,98,74,34,512
97,98,52,93,54,59,459
29,46,93,63,81,51,417
62,84,77,89,55,73,446
9,89,20,64,97,53,478
76,54,68,82,49,77,413
56,54,7,93,42,59,417
28,79,29,95,72,84,477
80,62,13,63,93,52,442
25,64,14,64,44,69,417
79,83,61,92,50,79,450
87,73,62,43,26,55,412
37,31,29,46,95,63,417
20,94,72,62,61,71,445
59,66,89,87,89,20,475
60,17,63,72,63,46,399
51,79,73,29,36,89,431
67,52,76,42,14,81,424
59,52,64,78,49,59,368
30,92,15,62,93,72,478
83,66,34,83,64,89,456
68,42,94,29,95,80,470
27,97,94,11,93,31,518
92,55,63,86,1,36,463
73,56,76,65,96,83,455
52,60,35,22,88,86,433
60,70,36,76,76,11,439
98,15,51,98,66,97,500
51,99,76,85,63,80,460
35,99,93,66,42,41,443
84,69,37,13,73,41,438
84,12,-1,70,95,36,505
24,27,67,64,84,81,449
34,43,54,80,28,39,392
48,64,56,69,26,31,387
11,73,1,50,77,82,474
75,26,66,94,56,0,469
55,64,45,25,10,71,413
67,57,34,67,82,97,441
82,88,23,81,79,9,502
85,66,56,32,53,56,389
57,52,50,64,66,79,374
37,59,51,93,41,31,397
57,31,67,77,78,71,424
95,70,80,60,64,1,473
94,9,70,59,69,33,454
55,30,41,64,33,82,400
19,96,40,32,27,93,473
57,93,93,26,79,84,485
35,81,53,1,70,13,458
96,30,80,46,3,89,489
29,62,53,42,37,64,374
96,56,40,65,78,55,415
55,27,94,1,90,76,491
84,52,82,76,37,77,439
51,62,62,71,51,31,371
80,98,91,75,65,74,489
86,29,49,21,40,54,403
75,94,89,62,93,59,478
84,75,80,51,87,80,463
94,64,55,16,45,57,413
61,64,5,57,90,89,461
27,31,23,53,14,86,446
47,86,98,13,3,98,522
95,55,90,58,68,78,450
90,52,2,71,80,11,484
42,92,95,53,70,90,463
59,38,76,50,56,9,398
81,54,54,84,21,60,417
65,7,71,38,71,60,426
69,87,1,47,99,60,471
63,86,19,44,50,98,438
73,7,43,92,24,5,488
91,54,51,31,53,33,389
50,63,90,15,9,53,436
45,18,86,83,18,73,464
80,92,96,84,42,57,472
48,97,75,83,69,88,469
72,21,55,10,16,92,475
40,74,36,63,76,54,395
40,86,68,84,11,59,450
99,55,70,86,99,52,467
87,84,66,60,95,82,480
65,67,10,5,10,86,496
98,61,85,79,77,80,486
16,78,73,99,54,3,489
85,95,86,81,67,79,499
19,92,35,73,35,30,448
1,55,97,93,5,14,528
86,60,66,88,57,78,441
38,58,80,79,84,94,462
86,61,8,75,97,5,510
25,54,79,91,98,78,480
90,60,58,74,8,71,450
60,21,48,19,52,91,418
63,63,29,4,80,35,441
88,86,94,86,90,53,503
64,12,42,31,19,64,426
74,77,25,48,29,48,403
92,88,88,59,12,38,481
35,90,75,12,88,59,469
96,10,65,75,95,84,510
92,93,67,61,53,26,445
72,61,46,20,70,96,437
1,94,10,91,63,71,512
68,1,47,1,21,28,471
82,75,67,37,83,79,454
46,82,88,69,31,9,456
51,5,17,77,13,97,493
66,4,57,32,21,68,437
20,27,57,82,52,82,430
16,81,94,62,20,2,502
99,4,70,64,68,40,461
91,67,59,60,38,20,423
96,60,23,70,29,91,469
26,30,58,16,72,74,435
86,63,97,36,60,43,431
18,96,92,18,51,24,482
92,66,66,1,78,64,470
54,52,26,61,50,2,393
93,85,80,86,78,7,520
94,85,65,21,51,4,474
98,65,85,95,84,72,505
91,28,56,84,95,84,487
29,90,4,57,26,43,447
28,63,61,43,32,28,395
72,38,71,81,18,50,422
89,83,85,98,74,75,510
24,65,67,56,13,13,441
88,2,59,71,68,90,479
26,38,40,41,21,26,408
75,96,61,24,71,37,446
25,75,49,38,62,54,382
56,54,33,88,7,27,434
86,9,78,74,22,84,495
84,39,63,93,85,92,483
73,4,94,80,63,81,492
63,51,69,22,35,59,389
91,61,55,99,94,19,486
93,81,14,22,78,88,508
60,90,33,98,48,23,447
8,74,95,71,16,63,483
55,58,98,49,99,90,456
56,98,70,84,98,57,469
29,95,56,64,76,79,446
85,50,30,88,85,73,456
61,55,88,53,86,6,442
33,90,6,61,0,77,492
86,41,7,67,8,51,451
97,9,57,54,82,75,461
86,75,57,64,46,26,414
83,94,54,56,66,79,438
12,16,78,78,54,67,453
70,59,50,67,71,10,412
28,91,49,32,53,99,437
31,4,71,89,67,37,458
66,6,45,49,20,52,400
85,39,2,54,68,75,445
78,84,53,69,87,51,428
67,86,69,53,34,31,414
63,59,98,46,77,50,406
94,53,52,45,46,85,397
13,83,78,63,46,66,435
72,78,57,19,60,82,435
81,73,39,73,68,47,413
92,70,70,70,58,16,449
35,52,82,27,15,55,415
53,56,15,54,91,64,408
9,92,67,93,68,98,514
39,56,37,18,80,84,429
74,85,76,82,77,58,458
10,90,77,75,72,55,464
96,74,28,80,54,13,467
44,85,68,85,88,32,454
7,92,95,97,60,71,513
94,78,37,73,52,84,449
98,1,32,56,11,71,484
71,4,89,76,1,62,497
29,59,75,66,33,69,411
55,67,85,82,17,80,457
53,8,86,32,88,23,467
23,64,71,59,55,20,410
51,53,38,97,59,37,389
18,96,24,93,84,73,508
33,93,60,45,87,14,451
47,29,10,26,77,62,429
67,65,58,11,51,22,412
55,92,76,70,94,32,460
73,2,17,86,30,68,481
78,88,97,13,52,15,491
57,61,67,60,2,71,419
2,96,80,22,65,69,490
6,50,78,72,69,77,445
78,20,61,71,75,90,460
62,59,88,96,69,45,434
46,6,93,68,50,52,415
57,2,95,83,51,80,469
19,71,90,52,50,18,430
90,37,87,41,17,62,447
64,77,63,86,81,87,464
76,69,26,84,52,82,442
97,65,83,99,96,62,508
94,53,71,74,97,95,490
57,63,66,71,22,87,427
64,49,98,55,74,62,409
83,35,9,93,63,27,471
79,8,90,99,92,59,516
30,86,77,64,80,12,469
44,80,77,74,68,54,414
48,45,38,87,38,93,413
17,19,16,53,26,43,433
45,6,88,72,53,97,463
19,56,75,84,85,40,445
74,73,38,36,50,43,383
78,32,76,59,78,82,446
68,28,54,77,89,85,450
70,7,47,43,93,58,427
65,96,75,76,89,37,469
74,12,53,43,0,34,440
94,38,50,60,29,96,437
38,90,42,69,80,26,436
40,37,36,14,64,65,404
70,99,68,33,67,30,445
97,99,49,79,70,65,466
48,61,37,60,90,60,390
87,42,81,52,98,49,431
95,14,81,94,50,81,492
62,9,9,82,58,58,446
60,98,18,28,63,54,433
97,53,41,31,11,60,430
39,77,11,17,72,23,461
83,27,8,29,87,82,491
13,58,60,46,91,51,405
65,82,60,93,64,85,455
81,73,96,20,70,78,483
58,50,28,79,81,64,409
93,62,70,87,14,68,471
53,61,69,33,54,89,398
51,24,64,42,62,30,384
64,27,51,58,56,25,381
83,89,20,67,82,38,467
59,84,73,6,15,69,468
62,60,68,90,59,93,438
69,53,85,47,44,92,412
9,40,22,56,50,59,397
63,22,97,75,99,13,503
85,87,22,48,96,78,480
55,92,55,54,96,64,422
58,48,77,62,14,71,410
73,0,54,95,56,60,443
91,91,18,34,24,55,464
94,76,84,39,57,43,433
65,23,82,60,21,12,454
54,53,70,89,53,90,415
82,19,61,100,54,67,450
71,91,39,62,97,86,473
11,19,74,33,87,77,478
59,66,36,88,85,39,427
21,70,88,59,66,52,419
19,81,59,25,85,49,435
89,42,4,17,66,14,480
91,61,28,84,66,43,435
17,86,51,37,88,22,452
64,95,23,50,78,7,461
68,61,30,52,29,61,387
52,46,56,69,80,37,378
18,6,59,82,70,9,481
42,81,94,78,66,73,455
98,32,97,90,51,42,466
44,80,53,90,26,99,456
31,79,73,31,89,64,447
98,87,18,75,14,32,499
64,67,82,53,85,70,427
15,65,55,5,94,30,467
15,83,72,17,1,92,517
55,70,88,59,66,23,420
19,75,26,88,86,15,492
37,84,84,78,96,82,492
76,58,53,4,80,79,447
17,35,92,98,11,74,504
71,58,98,55,98,97,483
19,45,78,0,60,55,432
48,90,70,37,36,92,434
90,1,68,92,83,97,534
1,77,3,60,51,91,479
42,75,82,79,70,82,451
44,52,16,80,60,94,430
59,80,38,52,69,14,412
75,6,86,41,67,90,475
66,95,83,48,80,44,436
54,63,64,62,75,97,421
44,59,16,70,64,1,435
57,3,54,87,38,88,449
92,47,42,63,46,51,374
95,40,68,25,0,82,483
6,6,25,61,95,78,500
16,81,96,7,62,50,470
49,44,71,54,24,30,380
90,90,78,28,64,44,454
95,9,5,80,2,67,529
57,8,78,56,10,16,460
80,24,85,61,27,91,470
26,72,65,76,45,67,413
92,81,79,62,53,46,426
78,80,25,93,44,57,443
54,62,49,51,85,23,384
56,76,1,76,62,50,424
87,79,96,76,82,54,480
